lead_id,company_name,industry_code,industry_name,lead_source,product_interest,inquiry_text,office_country,created_at,last_contacted_at,company_size,annual_revenue,lead_score,pages_viewed,requested_demo,sales_notes,constant_source,converted
50708,Vertex Labs,RETL,Retail,Referral,Marketing automation,Asked about pricing for marketing automation and onboarding support,United States of America,2022-01-10,2022-05-22,62,2875049.94,38.4,2,0,,crm_export,0
50709,BluePeak Solutions,MEDIA,Media,Webinar,Security audit,Looking for security audit for a operations team before Q1,Brasil,2024-12-05,,579,1446846.03,16.2,6,1,NA,crm_export,1
50710,Nova Labs,FIN,Finance,Conference,Analytics platform,Comparing vendors for analytics platform after a failed warehouse rollout,Canada,2025-02-27,2025-01-03,212,3823058.58,38.1,4,0,,crm_export,0
50711,Nova Systems,FIN,Finance,Paid search,CRM integration,"Procurement requested details about reporting, pricing, and security",Germany,2022-02-10,2022-10-25,68,3154311.4,16.7,4,0,needs security review,crm_export,0
50712,Acme Systems,MEDIA,Media,Paid search,Forecasting dashboard,"Procurement requested details about lead scoring, pricing, and security",USA,2025-05-25,2025-06-23,477,5008492.46,68.9,2,0,follow up next quarter,crm_export,0
50713,Summit Group,FIN,Finance,Website,Customer data platform,Needs help replacing legacy warehouse with customer data platform,Australia,2025-09-14,2025-12-21,30,19586275.2,NA,4,1,,crm_export,1
50714,BluePeak Systems,FIN,Finanace,Website,Analytics platform,Comparing vendors for analytics platform after a failed CRM rollout,Deutschland,2022-01-10,2022-05-18,30,7886586.22,61.4,6,0,,crm_export,0
50715,Acme Group,HLTH,Healthcare,LinkedIn,Forecasting dashboard,"Procurement requested details about compliance, pricing, and security",France,2025-12-24,2025-09-12,29,19499506.92,44.5,7,1,,crm_export,1
50716,Nimbus Solutions,FIN,Finance,LinkedIn,Security audit,"Procurement requested details about lead scoring, pricing, and security",France,2021-02-01,2021-01-03,56,3329489.08,65.7,1,0,NA,crm_export,0
50717,Nimbus Systems,EDU,Education,Referral,Customer data platform,"Procurement requested details about forecasting, pricing, and security",Deutschland,2022-03-14,2022-02-21,10,1694590.51,70.3,1,0,needs security review,crm_export,1
50718,Acme Systems,TRVL,Travel,Conference,Marketing automation,Wants a demo focused on forecasting and integration options,U.K.,2023-06-26,2023-08-10,76,1789823.58,60.1,2,0,,crm_export,0
50719,Vertex Group,EDU,Education,Conference,Analytics platform,"Procurement requested details about compliance, pricing, and security",Deutschland,2023-09-27,2023-07-14,92,24237173.5,69.0,6,0,NA,crm_export,1
50720,Vertex Systems,TRVL,Trave,Conference,CRM integration,Needs help replacing legacy BI tool with crm integration,Italia,2023-03-04,2023-12-12,118,2909472.56,30.4,4,0,asked about pricing,crm_export,0
50721,Nova Systems,FIN,Finance,Website,Data warehouse,"Procurement requested details about lead scoring, pricing, and security",India,2022-10-28,2022-02-09,84,5947153.7,22.8,6,0,,crm_export,0
50722,Acme Analytics,EDU,Education,Cold email,Customer data platform,Comparing vendors for customer data platform after a failed spreadsheet rollout,Italy,2023-05-16,2023-10-08,34,11653352.04,45.9,5,0,,crm_export,1
50723,Acme Group,EDU,Education,,Security audit,Asked about pricing for security audit and onboarding support,Canada,2025-09-01,2025-04-17,70,64841673.54,80.8,4,0,asked about pricing,crm_export,0
50724,Summit Solutions,TRVL,Travel,Cold email,CRM integration,Wants a demo focused on lead scoring and integration options,Germany,2023-11-11,2023-12-13,116,16617278.53,40.8,4,0,asked about pricing,crm_export,0
50725,BluePeak Analytics,HLTH,Healthcare,Webinar,Marketing automation,"Procurement requested details about lead scoring, pricing, and security",Espana,2025-02-19,2025-06-25,46,6585232.43,80.8,8,0,needs security review,crm_export,0
50726,Summit Labs,TECH,Technology,Partner,Data warehouse,"Procurement requested details about forecasting, pricing, and security",Brasil,2022-02-12,2022-01-19,17,10917666.48,76.9,8,0,,crm_export,0
50727,BluePeak Analytics,MEDIA,Media,Website,Data warehouse,Needs help replacing legacy spreadsheet with data warehouse,Canada,2024-07-11,,213,5393214.49,45.0,0,0,needs security review,crm_export,0
50728,Summit Solutions,RETL,Retial,Referral,Customer data platform,Wants a demo focused on forecasting and integration options,Canada,2024-03-10,2024-03-24,38,6038577.58,84.9,3,0,,crm_export,0
50729,Summit Analytics,MFG,Manufacturing,Conference,Forecasting dashboard,Needs help replacing legacy BI tool with forecasting dashboard,Italia,2023-12-17,2023-11-27,99,8821914.89,49.9,5,0,follow up next quarter,crm_export,1
50730,Vertex Labs,HLTH,Healthcare,Conference,Forecasting dashboard,Needs help replacing legacy spreadsheet with forecasting dashboard,Italy,2021-09-18,2021-02-01,87,8354866.23,56.2,7,0,,crm_export,1
50731,BluePeak Labs,MFG,Manufacturing,Cold email,Marketing automation,Comparing vendors for marketing automation after a failed warehouse rollout,Great Britain,2023-02-13,2023-03-09,414,7058949.27,63.4,4,0,needs security review,crm_export,0
50732,BluePeak Systems,RETL,Retail,,Customer data platform,Asked about pricing for customer data platform and onboarding support,Great Britain,2023-01-14,2023-01-01,122,6773203.34,57.3,5,1,,crm_export,0
50733,Summit Solutions,TECH,Technology,Partner,Analytics platform,Asked about pricing for analytics platform and onboarding support,Great Britain,2024-01-08,2024-10-17,44,1513734.35,53.1,6,0,NA,crm_export,1
50734,BluePeak Group,TRVL,,Conference,Data warehouse,"Procurement requested details about compliance, pricing, and security",Spain,2025-03-09,2025-06-16,500,7540291.79,81.8,5,0,asked about pricing,crm_export,1
50735,Acme Systems,HLTH,Healthcare,Paid search,Analytics platform,"Procurement requested details about lead scoring, pricing, and security",United States of America,,2024-07-04,55,2598609.41,39.2,8,1,,crm_export,1
50736,Nimbus Group,TECH,Technology,Paid search,Security audit,Looking for security audit for a data team before Q4,Italia,2025-09-01,,235,55884365.51,51.7,1,1,,crm_export,1
50737,Summit Solutions,FIN,Finance,Webinar,Marketing automation,Wants a demo focused on compliance and integration options,France,2025-08-04,2025-10-07,66,1623364.71,70.0,2,0,NA,crm_export,0
50738,Nova Solutions,EDU,Education,Webinar,Analytics platform,Asked about pricing for analytics platform and onboarding support,Brazil,2021-07-06,2021-06-26,194,6041150.41,52.3,5,0,,crm_export,0
50739,Summit Solutions,FIN,Finance,Webinar,Data warehouse,Needs help replacing legacy warehouse with data warehouse,France,,2022-07-05,130,2375716.4,68.2,9,0,asked about pricing,crm_export,1
50740,Nimbus Analytics,MEDIA,Media,Webinar,Analytics platform,Wants a demo focused on lead scoring and integration options,Italy,2024-05-24,2024-07-13,24,10758816.75,58.6,7,0,,crm_export,0
50741,Summit Solutions,MEDIA,Media,Paid search,Security audit,Comparing vendors for security audit after a failed spreadsheet rollout,Great Britain,NA,2024-01-27,17,4874890.2,54.0,6,0,NA,crm_export,0
50742,Nova Systems,RETL,,Paid search,Marketing automation,"Procurement requested details about forecasting, pricing, and security",Brasil,2023-11-04,2023-08-08,138,5732797.74,NA,6,0,NA,crm_export,1
50743,Vertex Systems,MFG,Manufacturing,,Security audit,Comparing vendors for security audit after a failed BI tool rollout,India,2025-02-18,2025-02-11,198,20297194.59,59.9,2,0,,crm_export,0
50744,Nova Labs,HLTH,Healthcare,NA,CRM integration,"Procurement requested details about forecasting, pricing, and security",France,2023-01-17,2023-12-01,20,38344126.1,53.4,5,0,NA,crm_export,1
50745,Vertex Analytics,FIN,Finance,Cold email,Marketing automation,Looking for marketing automation for a marketing team before Q4,India,2022-10-17,2022-02-18,49,,67.4,6,1,NA,crm_export,0
50746,BluePeak Analytics,HLTH,Healtcare,Paid search,CRM integration,Wants a demo focused on forecasting and integration options,Italia,2023-04-26,2023-07-04,767,1763580.09,70.3,3,0,NA,crm_export,1
50747,Summit Labs,MFG,Manufacturing,Cold email,Security audit,"Procurement requested details about reporting, pricing, and security",India,2022-05-15,2022-05-15,299,1144476.81,71.0,6,0,,crm_export,1
50748,Summit Group,RETL,Retail,NA,Marketing automation,Looking for marketing automation for a sales team before Q3,India,2023-03-17,2023-09-24,287,1426237.86,38.0,4,1,,crm_export,1
50749,Nova Labs,TECH,Technology,Webinar,CRM integration,Comparing vendors for crm integration after a failed BI tool rollout,U.K.,2023-05-17,2023-12-03,146,1450019.29,46.5,7,0,NA,crm_export,0
50750,Nimbus Group,TRVL,Travel,Webinar,Marketing automation,Needs help replacing legacy CRM with marketing automation,Italia,2023-11-17,2023-01-25,37,21559001.69,61.3,5,1,,crm_export,1
50751,Acme Group,EDU,Education,Webinar,Customer data platform,Comparing vendors for customer data platform after a failed warehouse rollout,India,2022-02-15,2022-07-20,66,6325882.5,100.0,3,0,,crm_export,0
50752,Acme Group,MEDIA,Media,Referral,CRM integration,Looking for crm integration for a marketing team before Q1,United Kingdom,2021-01-20,2021-09-22,77,3976964.3,51.0,2,0,NA,crm_export,1
50753,BluePeak Systems,RETL,Retial,Partner,Security audit,Looking for security audit for a finance team before Q3,Deutschland,2023-02-24,2023-02-04,20,11532675.72,49.7,6,0,,crm_export,0
50754,Nova Systems,RETL,Retail,Webinar,CRM integration,Looking for crm integration for a operations team before Q3,Australia,,2021-05-05,33,3723824.22,67.5,8,1,needs security review,crm_export,1
50755,Acme Labs,RETL,Retail,Webinar,Data warehouse,Comparing vendors for data warehouse after a failed CRM rollout,Italia,2023-02-19,2023-05-09,119,3074087.97,73.5,4,1,,crm_export,1
50756,Vertex Solutions,EDU,Education,Conference,Customer data platform,Comparing vendors for customer data platform after a failed warehouse rollout,Spain,2025-01-26,2025-05-10,42,124562349.53,70.2,5,0,,crm_export,1
50757,Nova Labs,RETL,Retail,Paid search,Data warehouse,Comparing vendors for data warehouse after a failed spreadsheet rollout,Spain,2023-12-10,2023-01-04,458,3285274.65,80.6,3,0,NA,crm_export,1
50758,Summit Analytics,TECH,Technology,,Customer data platform,Wants a demo focused on compliance and integration options,U.S.,2022-08-05,2022-08-01,127,2245881.26,64.4,6,0,,crm_export,1
50759,Acme Analytics,MEDIA,Media,LinkedIn,Customer data platform,Wants a demo focused on lead scoring and integration options,France,2021-08-08,2021-12-05,84,6844707.15,54.8,4,0,follow up next quarter,crm_export,0
50760,Nimbus Analytics,TECH,Technology,Cold email,Data warehouse,Comparing vendors for data warehouse after a failed CRM rollout,Canada,2022-11-08,2022-03-05,146,19355812.92,43.3,7,0,asked about pricing,crm_export,0
50761,Nimbus Analytics,FIN,Finance,Partner,Marketing automation,Asked about pricing for marketing automation and onboarding support,India,2024-10-05,2024-09-14,52,42388633.67,72.3,1,0,follow up next quarter,crm_export,1
50762,Vertex Labs,TRVL,Travel,Referral,Forecasting dashboard,Comparing vendors for forecasting dashboard after a failed CRM rollout,USA,2022-05-10,,63,3505106.14,51.1,2,1,needs security review,crm_export,0
50763,Nimbus Systems,HLTH,Healthcare,Partner,Marketing automation,Looking for marketing automation for a data team before Q1,Australia,2024-04-03,2024-01-17,23,2064339.03,72.0,2,1,asked about pricing,crm_export,1
50764,Nimbus Group,MEDIA,Media,LinkedIn,Data warehouse,Needs help replacing legacy CRM with data warehouse,Italy,2021-08-13,2021-12-23,282,14767463.64,64.2,6,0,follow up next quarter,crm_export,0
50765,BluePeak Analytics,RETL,Retial,Paid search,Analytics platform,Asked about pricing for analytics platform and onboarding support,India,2023-06-14,2023-11-09,88,3957975.16,57.2,3,1,,crm_export,1
50766,BluePeak Solutions,EDU,Education,Partner,Customer data platform,Asked about pricing for customer data platform and onboarding support,India,2022-11-12,2022-01-07,116,15394396.72,66.3,5,0,needs security review,crm_export,0
50767,Summit Group,TRVL,Trave,LinkedIn,Customer data platform,Wants a demo focused on lead scoring and integration options,Australia,2021-03-11,2021-12-07,83,1176121.72,76.1,4,1,,crm_export,0
50768,Vertex Labs,HLTH,Healthcare,Paid search,Marketing automation,Looking for marketing automation for a sales team before Q1,Spain,2023-12-17,2023-05-03,36,1348284.56,84.4,3,0,needs security review,crm_export,0
50769,Nimbus Group,MEDIA,Media,Webinar,Analytics platform,"Procurement requested details about reporting, pricing, and security",Germany,2023-09-09,2023-04-01,28,6140643.69,29.9,6,0,,crm_export,0
50770,Summit Systems,FIN,Finance,Referral,Marketing automation,Asked about pricing for marketing automation and onboarding support,France,2022-10-20,2022-05-12,13,15906188.64,49.6,1,1,,crm_export,1
50771,BluePeak Group,EDU,Education,Cold email,CRM integration,Needs help replacing legacy spreadsheet with crm integration,Australia,2021-12-17,2021-12-18,25,,44.6,6,0,NA,crm_export,1
50772,Nimbus Solutions,MEDIA,Media,Conference,Marketing automation,Asked about pricing for marketing automation and onboarding support,Germany,2024-09-24,2024-11-18,28,3585012.85,62.4,6,0,asked about pricing,crm_export,0
50773,Summit Labs,TECH,Technology,Paid search,Security audit,Comparing vendors for security audit after a failed warehouse rollout,Australia,2025-02-15,,49,3668863.01,56.5,3,0,follow up next quarter,crm_export,1
50774,Summit Labs,TRVL,Trave,Referral,Marketing automation,Wants a demo focused on forecasting and integration options,Australia,2022-09-08,2022-07-07,52,6370720.23,41.6,4,0,,crm_export,0
50775,Nimbus Labs,MFG,Manufacturing,Referral,Security audit,Comparing vendors for security audit after a failed warehouse rollout,Italy,2025-07-20,2025-07-01,23,7732370.88,36.4,11,0,NA,crm_export,0
50776,Nova Group,TECH,Technology,Paid search,Security audit,Looking for security audit for a sales team before Q4,Deutschland,2021-04-03,2021-06-24,118,1033678.84,17.1,5,1,,crm_export,0
50777,Nova Labs,EDU,Education,Webinar,CRM integration,Wants a demo focused on reporting and integration options,Canada,2021-04-20,2021-12-17,66,31510629.48,67.9,6,1,,crm_export,1
50778,BluePeak Solutions,RETL,Retial,Website,Data warehouse,Looking for data warehouse for a finance team before Q4,Italia,2024-09-08,2024-12-18,108,,31.8,9,1,,crm_export,0
50779,Nova Systems,EDU,Education,Partner,Security audit,Comparing vendors for security audit after a failed CRM rollout,Italy,2022-09-16,2022-03-19,77,26235711.33,39.7,8,1,NA,crm_export,1
50780,Vertex Systems,MEDIA,Media,Partner,Data warehouse,"Procurement requested details about forecasting, pricing, and security",Australia,2022-10-22,2022-09-26,121,3927252.02,68.7,4,1,NA,crm_export,1
50781,BluePeak Labs,FIN,Finance,Conference,Data warehouse,Asked about pricing for data warehouse and onboarding support,India,2025-10-06,2025-02-18,57,4219383.28,72.6,9,0,NA,crm_export,1
50782,Nimbus Systems,TRVL,Travel,Referral,Security audit,Needs help replacing legacy warehouse with security audit,Germany,2023-06-12,2023-01-10,59,7143166.74,52.9,4,0,NA,crm_export,0
50783,Nimbus Solutions,TECH,Technology,Website,Data warehouse,Wants a demo focused on lead scoring and integration options,Great Britain,2023-11-14,2023-10-26,175,18039741.98,86.4,2,0,follow up next quarter,crm_export,1
50784,Nova Analytics,MFG,Manufacturing,Paid search,Customer data platform,Asked about pricing for customer data platform and onboarding support,Deutschland,2022-11-12,2022-10-11,123,4787324.25,85.0,10,0,,crm_export,0
50785,Vertex Systems,MFG,Manufacturing,Conference,CRM integration,Comparing vendors for crm integration after a failed BI tool rollout,USA,2021-05-12,2021-02-14,27,2899797.03,38.2,2,0,,crm_export,0
50786,Nova Analytics,TECH,Technlogy,Referral,Data warehouse,Comparing vendors for data warehouse after a failed BI tool rollout,Canada,2025-02-20,2025-03-20,65,6504629.29,37.1,5,0,,crm_export,0
50787,Vertex Systems,HLTH,,Referral,Data warehouse,Comparing vendors for data warehouse after a failed warehouse rollout,Canada,2023-07-25,2023-01-05,12,20177791.54,51.0,4,0,,crm_export,1
50788,BluePeak Analytics,HLTH,,,Security audit,"Procurement requested details about compliance, pricing, and security",Canada,2023-07-16,2023-08-26,75,1950469.5,95.0,2,0,,crm_export,1
50789,Acme Solutions,TECH,Technology,Referral,Analytics platform,Wants a demo focused on compliance and integration options,Spain,2025-12-14,2025-09-05,33,29038892.22,88.6,1,0,NA,crm_export,0
50790,Vertex Solutions,HLTH,Healthcare,Conference,Forecasting dashboard,"Procurement requested details about reporting, pricing, and security",Australia,2022-07-21,2022-03-22,44,7636636.77,86.9,2,0,asked about pricing,crm_export,0
50791,Summit Analytics,TECH,Technlogy,Partner,Forecasting dashboard,"Procurement requested details about compliance, pricing, and security",Great Britain,2025-03-25,NA,16,4678592.52,52.5,3,0,needs security review,crm_export,0
50792,Nimbus Labs,EDU,Education,Cold email,Marketing automation,Wants a demo focused on reporting and integration options,Spain,2022-12-05,2022-08-20,41,36089129.53,35.6,6,1,,crm_export,1
50793,Nimbus Solutions,MEDIA,Media,Conference,Analytics platform,Looking for analytics platform for a finance team before Q2,Italia,2024-01-23,2024-08-16,149,16360636.53,35.8,4,1,asked about pricing,crm_export,1
50794,BluePeak Solutions,TRVL,Travel,LinkedIn,Marketing automation,"Procurement requested details about forecasting, pricing, and security",Spain,2024-07-06,2024-02-14,436,46459811.3,73.1,3,0,NA,crm_export,0
50795,Acme Labs,HLTH,Healtcare,LinkedIn,CRM integration,Needs help replacing legacy BI tool with crm integration,Italia,2021-11-07,2021-10-26,115,2303975.56,51.0,4,0,follow up next quarter,crm_export,1
50796,Acme Labs,MFG,Manufacturing,Webinar,Customer data platform,"Procurement requested details about compliance, pricing, and security",Espana,2023-09-27,2023-05-05,159,2722468.97,57.6,8,0,needs security review,crm_export,1
50797,Summit Analytics,MFG,Manufacturing,Referral,Forecasting dashboard,"Procurement requested details about forecasting, pricing, and security",U.S.,2025-04-06,2025-08-19,50,19585648.02,83.5,6,0,follow up next quarter,crm_export,0
50798,Acme Group,MFG,Manufacturing,Referral,Analytics platform,Comparing vendors for analytics platform after a failed CRM rollout,United Kingdom,2022-07-04,2022-08-15,38,,66.2,3,1,,crm_export,1
50799,Vertex Group,RETL,Retail,,Marketing automation,Needs help replacing legacy spreadsheet with marketing automation,Brasil,2023-10-22,2023-07-13,119,1927786.76,34.4,2,0,,crm_export,0
50800,Nimbus Labs,TRVL,Travel,Partner,CRM integration,Needs help replacing legacy CRM with crm integration,Brazil,2022-05-06,2022-03-13,11,8200382.82,86.6,6,0,,crm_export,1
50801,Nova Analytics,MEDIA,Media,Conference,Customer data platform,Looking for customer data platform for a sales team before Q4,Great Britain,2024-02-18,2024-09-06,22,26791717.02,NA,6,0,asked about pricing,crm_export,1
50802,Nova Systems,EDU,Education,Conference,Marketing automation,Needs help replacing legacy CRM with marketing automation,Great Britain,2025-11-09,,45,8580847.94,15.9,2,1,follow up next quarter,crm_export,0
50803,Acme Labs,TRVL,Trave,Referral,Data warehouse,Asked about pricing for data warehouse and onboarding support,Brazil,2025-09-02,2025-08-15,7,17077275.48,63.1,2,0,needs security review,crm_export,0
50804,Nimbus Group,RETL,Retail,Cold email,Customer data platform,Asked about pricing for customer data platform and onboarding support,Germany,2022-10-14,2022-03-12,315,587589.52,25.3,4,0,,crm_export,0
50805,Vertex Analytics,TECH,Technlogy,Cold email,Forecasting dashboard,Comparing vendors for forecasting dashboard after a failed spreadsheet rollout,France,2025-12-07,2025-02-22,73,5386157.98,44.7,10,1,NA,crm_export,1
50806,Vertex Group,EDU,Education,Cold email,CRM integration,"Procurement requested details about forecasting, pricing, and security",United Kingdom,2025-06-07,2025-07-01,25,9373505.51,65.2,3,1,asked about pricing,crm_export,1
50807,Acme Solutions,EDU,Educaton,Cold email,Data warehouse,Comparing vendors for data warehouse after a failed BI tool rollout,Espana,2021-09-26,2021-06-07,40,6964310.63,70.6,10,0,,crm_export,1
50808,Acme Solutions,TECH,Technology,Conference,Forecasting dashboard,"Procurement requested details about compliance, pricing, and security",United States,NA,2022-12-07,86,11528348.13,55.1,9,0,,crm_export,1
50809,Nimbus Group,EDU,Education,Website,Marketing automation,Needs help replacing legacy warehouse with marketing automation,India,2021-07-17,2021-10-15,41,,67.8,5,0,,crm_export,0
50810,Acme Solutions,MFG,Manufacturing,Cold email,Analytics platform,Comparing vendors for analytics platform after a failed spreadsheet rollout,Brasil,2025-06-16,2025-08-28,281,1902449.37,63.7,4,0,follow up next quarter,crm_export,0
50811,Acme Labs,MFG,Manufacturing,Webinar,Analytics platform,Needs help replacing legacy warehouse with analytics platform,India,2021-08-03,2021-11-23,40,5519233.72,58.2,6,1,asked about pricing,crm_export,1
50812,Summit Group,RETL,Retail,Partner,Forecasting dashboard,Needs help replacing legacy spreadsheet with forecasting dashboard,UK,2023-09-25,2023-10-21,23,29531387.45,100.0,3,1,,crm_export,1
50813,Summit Systems,RETL,Retial,LinkedIn,CRM integration,Needs help replacing legacy BI tool with crm integration,U.K.,2025-07-19,2025-03-25,95,2733965.22,NA,11,0,,crm_export,1
50814,Summit Labs,EDU,Education,LinkedIn,Analytics platform,Wants a demo focused on compliance and integration options,Deutschland,2024-05-09,2024-11-09,63,5813006.08,35.4,4,0,,crm_export,0
50815,Nova Analytics,TRVL,Trave,Paid search,Forecasting dashboard,Asked about pricing for forecasting dashboard and onboarding support,India,2021-01-03,2021-10-10,35,3363541.72,55.6,7,0,,crm_export,0
50816,Summit Systems,TRVL,Trave,Partner,Data warehouse,Comparing vendors for data warehouse after a failed warehouse rollout,India,2021-01-02,2021-03-26,39,61449539.89,70.9,7,1,needs security review,crm_export,1
50817,Nova Solutions,FIN,Finance,Referral,Security audit,Needs help replacing legacy BI tool with security audit,UK,2025-07-12,2025-06-23,53,19205209.77,43.6,4,0,asked about pricing,crm_export,0
50818,Nimbus Solutions,TECH,Technlogy,Paid search,Marketing automation,Asked about pricing for marketing automation and onboarding support,United Kingdom,2025-11-06,2025-07-05,53,8152241.72,68.7,6,0,follow up next quarter,crm_export,0
50819,Vertex Group,HLTH,Healthcare,Webinar,Security audit,"Procurement requested details about forecasting, pricing, and security",Deutschland,2024-06-25,2024-04-17,2,2859343.42,82.6,8,0,needs security review,crm_export,1
50820,Nimbus Solutions,HLTH,Healthcare,Paid search,CRM integration,"Procurement requested details about reporting, pricing, and security",India,2021-08-03,2021-07-08,42,8142750.44,83.3,10,0,,crm_export,1
50821,BluePeak Solutions,MFG,Manufacturing,Paid search,Security audit,Comparing vendors for security audit after a failed CRM rollout,France,2022-08-01,2022-12-28,705,3023920.25,46.5,0,0,needs security review,crm_export,0
50822,Vertex Labs,MFG,Manufacturing,Cold email,Forecasting dashboard,Comparing vendors for forecasting dashboard after a failed BI tool rollout,Australia,2024-11-02,2024-07-27,90,56695662.23,NA,5,0,,crm_export,0
50823,BluePeak Group,HLTH,Healthcare,Referral,CRM integration,Needs help replacing legacy spreadsheet with crm integration,Espana,2023-03-14,2023-03-07,26,4616472.4,54.5,7,0,needs security review,crm_export,1
50824,Vertex Labs,HLTH,Healthcare,Paid search,CRM integration,Looking for crm integration for a operations team before Q2,Germany,2023-02-23,2023-09-19,73,7053756.12,55.4,6,1,follow up next quarter,crm_export,0
50825,BluePeak Group,MFG,Manufactring,,Data warehouse,Comparing vendors for data warehouse after a failed CRM rollout,France,2022-03-16,2022-08-28,290,8324843.08,77.9,5,0,,crm_export,1
50826,Acme Group,TRVL,Travel,Conference,Forecasting dashboard,Looking for forecasting dashboard for a marketing team before Q3,Australia,2022-04-19,2022-12-21,217,4895368.87,72.7,4,1,,crm_export,1
50827,Vertex Systems,TRVL,Travel,Cold email,Analytics platform,Wants a demo focused on lead scoring and integration options,Australia,2021-09-06,NA,44,6003409.47,80.6,7,0,NA,crm_export,1
50828,Acme Group,FIN,Finance,Website,CRM integration,Looking for crm integration for a finance team before Q4,Canada,2022-04-08,2022-01-28,35,2835505.66,NA,5,0,NA,crm_export,0
50829,Summit Analytics,TRVL,Trave,Referral,Marketing automation,Needs help replacing legacy BI tool with marketing automation,Espana,2024-07-14,2024-07-02,106,424988.24,61.5,0,0,follow up next quarter,crm_export,0
50830,Summit Group,RETL,Retail,Conference,Forecasting dashboard,"Procurement requested details about lead scoring, pricing, and security",France,2023-08-11,2023-08-24,1292,15802628.35,56.2,5,0,asked about pricing,crm_export,0
50831,Vertex Labs,TRVL,,Website,CRM integration,Comparing vendors for crm integration after a failed spreadsheet rollout,Brazil,2022-05-14,,101,5364096.72,37.8,2,0,follow up next quarter,crm_export,0
50832,Vertex Labs,TECH,Technology,LinkedIn,Analytics platform,Asked about pricing for analytics platform and onboarding support,France,2021-01-03,2021-02-10,28,39122878.63,NA,4,0,,crm_export,1
50833,Nova Analytics,EDU,Education,Webinar,Data warehouse,Looking for data warehouse for a operations team before Q3,Great Britain,2023-05-08,2023-10-17,38,5332179.09,61.9,7,0,,crm_export,0
50834,Acme Systems,MEDIA,Media,Referral,Security audit,Comparing vendors for security audit after a failed CRM rollout,United States of America,2023-01-15,2023-12-03,59,1782787.25,65.8,4,1,,crm_export,0
50835,Nimbus Group,TRVL,Travel,Conference,CRM integration,Comparing vendors for crm integration after a failed BI tool rollout,Spain,2022-02-12,2022-01-25,249,6771765.89,66.3,4,0,,crm_export,1
50836,Summit Systems,TECH,Technology,Website,Customer data platform,Looking for customer data platform for a sales team before Q3,France,2024-07-26,2024-03-05,64,13449348.91,43.4,2,0,asked about pricing,crm_export,1
50837,Vertex Group,FIN,Finance,Referral,Analytics platform,Looking for analytics platform for a operations team before Q4,Canada,2022-03-13,2022-11-20,45,442940.82,NA,3,0,NA,crm_export,1
50838,Nimbus Systems,FIN,Finance,Referral,Data warehouse,Looking for data warehouse for a sales team before Q4,Great Britain,2025-09-24,2025-05-25,17,15124469.78,62.0,4,1,NA,crm_export,1
50839,Acme Analytics,FIN,Finance,LinkedIn,Security audit,Comparing vendors for security audit after a failed CRM rollout,Great Britain,2023-09-16,,234,1671138.3,43.7,4,0,NA,crm_export,0
50840,BluePeak Group,MEDIA,Media,Cold email,Data warehouse,Comparing vendors for data warehouse after a failed CRM rollout,Canada,2023-07-12,,84,8343312.89,71.1,6,0,,crm_export,0
50841,Summit Analytics,EDU,Educaton,Partner,CRM integration,Comparing vendors for crm integration after a failed CRM rollout,Brazil,2023-07-04,2023-12-15,507,7031061.39,38.6,2,1,,crm_export,0
50842,Summit Analytics,EDU,Education,Webinar,CRM integration,Needs help replacing legacy BI tool with crm integration,Italia,2022-01-11,2022-02-10,20,23832596.93,82.9,7,0,follow up next quarter,crm_export,1
50843,Acme Systems,MEDIA,Media,Paid search,CRM integration,Needs help replacing legacy warehouse with crm integration,UK,,2024-03-10,440,295146.0,100.0,4,0,needs security review,crm_export,1
50844,Vertex Systems,TECH,Technology,Cold email,Data warehouse,Looking for data warehouse for a sales team before Q2,India,2021-04-14,2021-04-14,51,14632757.79,41.0,5,0,follow up next quarter,crm_export,1
50845,Acme Systems,TECH,Technology,Cold email,Data warehouse,Comparing vendors for data warehouse after a failed spreadsheet rollout,Canada,2023-01-01,2023-05-14,71,92988391.27,52.8,8,0,needs security review,crm_export,1
50846,BluePeak Group,MFG,Manufacturing,Website,Marketing automation,Wants a demo focused on forecasting and integration options,Brazil,2021-08-18,2021-01-16,46,4722811.06,82.1,5,0,asked about pricing,crm_export,1
50847,Vertex Analytics,MFG,Manufacturing,Cold email,Analytics platform,Comparing vendors for analytics platform after a failed warehouse rollout,United States of America,2025-02-19,2025-09-22,27,6880652.02,50.6,3,0,,crm_export,0
50848,Acme Group,TRVL,Travel,Partner,Forecasting dashboard,Wants a demo focused on compliance and integration options,India,2025-08-02,2025-01-05,56,4737032.66,44.7,5,0,,crm_export,1
50849,Vertex Analytics,HLTH,Healthcare,Conference,Marketing automation,Looking for marketing automation for a sales team before Q3,France,2023-05-27,2023-07-02,111,162927588.81,45.1,3,1,,crm_export,0
50850,Nimbus Analytics,TRVL,Travel,Website,Analytics platform,Wants a demo focused on compliance and integration options,Germany,2022-12-14,2022-10-03,78,2961138.86,NA,6,0,needs security review,crm_export,1
50851,Vertex Systems,MFG,Manufacturing,Referral,Customer data platform,Wants a demo focused on forecasting and integration options,Espana,2022-02-12,NA,44,87181015.21,31.1,4,0,needs security review,crm_export,0
50852,Acme Group,EDU,Education,Cold email,Data warehouse,"Procurement requested details about lead scoring, pricing, and security",Deutschland,2023-04-24,2023-06-07,296,856931.33,46.0,5,0,asked about pricing,crm_export,0
